step,learning_rate,discount_factor,exploration,exploration_decay,min_exploration
0,0.1,0.99,3.538527688343134e-44,0.999,0
state,value
S00R00000W,-20.26949921117635
SS00R00000W,0
0GR0000W,16.196681032415466
GR0000W,16.57403366777389
00R000000W,-0.43640104408753627
00000RW,2.042770366087035
S00000RW,-13.263658044552669
SSW,-39.55446087541104
RW,-10.05938384887917
0RW,2.9874228741756
SRW,-22.632530763768578
000000G0W,14.22494930457226
0000RW,2.3374926352731427
R0G000000W,7.451052208499027
0R0W,-3.5806988462403484
R0W,-5.306186183669404
0G000000W,17.874287120228367
0G0000000W,20.096549972152847
S0G0000000W,0
R000000W,-6.016316382312854
R0000000W,-5.567700917662073
SS000W,-29.424309658188147
0000000G0W,13.687160238198423
S0000000G0W,0
00000R0W,1.7792552417934981
000000G00W,14.267234219448715
000R0000W,2.342659295138821
0000G000W,15.691078765633563
0R000W,-1.8128199269756866
S0R000W,-18.201366872022454
SS0R000W,-24.297567773698194
S000G00W,-2.4070060381220846
00R000W,0.11636592138959867
00000G000W,15.755017761244371
S00000G000W,0
00R00W,1.4194115111370118
0R00W,-1.605944031579015
0000R000W,0.6559369807588867
S0G000W,0.374400734631724
S00GW,-3.316956717306737
SS00GW,-16.62174627700544
S00G0000W,-2.812086385319061
G00000000W,19.23937352681552
S0R00000W,-19.164154102151183
S0000000RW,-14.867147470135807
S000000RW,-17.245077757204477
G0W,18.386781372055328
SG0W,-1.6797739689559652
SSG0W,-17.74218109153578
SR000000W,-21.603822981179974
000RW,3.568072710131755
S000RW,-17.38024259583392
SR0000000W,-20.50069153165683
00000R00W,2.776504938698507
SSS000000W,-21.73488795748857
SSS0000000W,0
00RW,5.184077663928306
00G00RW,14.999769547624737
0G00RW,16.2360918597996
SGW,-2.169110258594516
000R0W,0.3975988767793915
S000G0000W,-2.7131108398139285
0G0W,17.460408072214385
00G000R0W,15.829898473515334
S00G000R0W,-2.3695861512903016
0G000R0W,18.24032883963731
SR0W,-19.65929279601154
0000000GRW,12.258185166925955
S0GW,-2.5382050549385466
00000000GW,13.130376110507736
SSS0000W,-39.83031973425378
S0G00000W,-2.054807652845595
0R0000W,-1.0894601625022773
R0000W,-3.375247422330032
SR0000W,-18.628090209401925
S0000R000W,-15.485442928327753
S0000G000W,-4.043014373191953
SR000W,-20.526794992559168
S00G00000W,-4.017458652275111
SS00G00000W,0
G000G00R0W,11.852309492932486
000G00R0W,13.400734661900888
S000G00R0W,-2.692551595969724
00000GW,14.199597986631684
S000G000W,-4.427707571822838
000R00000W,0.2816080503035915
G000G000W,27.0488363032364
SSS00W,-31.677827991411824
0R00G00W,4.897841620812447
S00000G0W,-4.944455001793964
SG000W,-1.706274534482112
S00G000W,-1.1024284186903135
S0G0W,-3.014927184405604
0000R0W,2.733311537192508
S0R000000W,-20.49288013870977
S0R0000000W,0
S00G000000W,0
00G0GW,26.25054224724618
S0G0000W,-2.7452356426305644
S00R000W,-16.449465022026384
00R0000W,1.136810421172501
0000R00W,4.152240831621825
S000R00W,-16.173511972214783
S0000R0W,-16.681868558676005
SS00000G0W,-20.70941776290015
0000G0000W,16.79983178098153
S000R0W,-16.305662637862863
S0R0W,-18.575113934240147
S000G0W,-1.5091825156278997
SG000000W,-0.8015820496604305
S00000000RW,0
S0G000000W,-2.5192979320894744
SG0000000W,-1.4165433362293112
00000R0G0W,4.355922524290299
0000R0G0W,5.314120753716458
000R0G0W,6.612517760260706
G00000RW,16.32217543023441
S000G00000W,0
00000GR0W,13.241353047071584
0000GR0W,14.845955888316496
000GR0W,15.62411229202866
0GR0W,16.398993406478038
00G000G0W,24.28693760670777
G000G0W,27.03558931836644
0G00GW,26.6089572968906
G00GW,27.76042824357525
S0000G00W,-4.069085874135551
00000R000W,1.6231302911491745
R00000000W,-3.675945553814743
SG00000000W,0
00R000G0W,3.5707013948963584
S00R000G0W,-9.9803900565235
SR00000000W,0
000RG00W,7.190781715354163
00RG00W,7.759008392741544
0RG00W,7.888177562229528
RG00W,8.690434505306376
0000000000W,0
G00R0000W,19.626687249020254
R00000G00W,3.4916134427591046
000000R00W,1.9450282776522951
S0RW,-18.437988000913123
S000R00000W,0
0000GGW,24.853569283359157
000GGW,25.93147804284812
00GGW,27.007496624235586
S00GGW,2.7170339911148833
0GG0000W,28.55039334468253
GG0000W,30.0569206257339
SGG0000W,2.800353117275207
00GR0000W,14.490912043063577
S00000R0W,-16.306889614862577
000R000W,-0.03653486579315138
S000R000W,-16.977674862724193
G00000G00W,25.45889295650168
S0000G0000W,0
0000G0R0W,13.798442561793465
S0000G0R0W,-4.47646709150348
00G00R0W,13.943680314519904
S000000G0W,-2.3787528015140222
S0000GW,-5.699051358291618
G000RW,19.846002266999434
00G000RW,15.45979011107977
S00RW,-15.9997273665692
SS0GW,-15.989193013423469
S0000RW,-15.033011429302684
SSG0000W,-18.037921655664068
R0GW,7.797165627625986
S00000GW,-4.956271816013115
SSSW,-37.84069229964286
S00R0W,-17.441066956708454
SS00R0W,-20.302290294090263
0R00000GW,2.5899042004653308
SS0R0W,-20.31330377022481
SS0000000GW,0
SS000G000W,-20.53248478019628
0G00R0W,15.086240893966623
G00R0W,16.684680992655117
SSS000W,-35.250936547070566
SS00G0000W,-20.402699455258357
SS00G00W,-19.856770056457666
000R0GW,5.582402966898311
00R0GW,6.544834408110172
0R0GW,6.2286327632277105
SG000G000W,0.8737086912355144
000RG000W,5.979138507381526
00RG000W,6.835232491564903
0GG000000W,28.314774355150956
GG000000W,29.248359087196363
SSSSW,-34.72911305325406
R000G0000W,4.894601693762784
SR000G0000W,0
0G00G0000W,27.34201707069573
G00G0000W,28.084407888877273
GR0W,17.31525816616183
R0G0W,7.013552848850987
SS000R00W,-23.937120866588312
S00R00W,-18.11657716230543
0S000W,-6.451843730465435
R000GW,5.578335913127914
R00GW,6.359438767163315
S00000R00W,-14.047376594337814
SS000G0000W,0
00G0RW,15.748836130788268
0G0RW,16.60292345274871
S0G0RW,-1.6978016738954418
S0G00W,-2.8263458408116637
000000GRW,12.607642101844693
00000GRW,13.77644591039086
S00000GRW,-4.971989673504203
00G0R0W,15.677908220698718
S00G0R0W,-2.392856012258984
0S000000W,-1.0519177711342331
SS000000RW,-21.08353160481103
G000R0000W,16.90858562911916
SSR0W,-21.364596289943044
SSS00000W,-39.58129553922518
0SW,-9.771596519386328
SS0RW,-21.79046580258538
SS00RW,-22.30005490382697
0000G00G0W,22.38571679828241
S0000G00G0W,0
00000G0G0W,22.60045710552894
0000G0G0W,23.413100276788217
000G0G0W,24.434601860194455
S000G0G0W,4.038362424255207
00G0G0W,25.89162643638732
S0R00W,-17.147421599344952
G0G000000W,28.011690949377112
GR000000W,16.4731336401582
0000000GGW,21.528666798789207
000000GGW,22.5255532382773
00000GGW,23.71497717925464
S00000R000W,0
00RG0000W,8.1908720359023
S00000000GW,0
G0G000W,28.710860555875605
S000000G00W,0
SS0000GW,-20.696780911133207
SG00W,-1.0078686651523932
SS0G0W,-16.457059167897327
S0000R0000W,0
SS0R00W,-20.56123169515754
SS0000G00W,-20.757101679101513
00000G00GW,21.64487052805705
00G000G00W,24.709163805364007
G0000R00W,18.103456732845334
SSS0W,-35.70345517338697
000G00RW,15.085746739931833
G00RW,17.71548479764642
SSSS000W,-39.294994040421436
R00G000W,6.207885530369894
0RG0000W,8.371016726599557
RG0000W,8.784148466337513
R000G0GW,4.357885502981804
000G0GW,24.797537150719545
00G000GW,24.172699393005786
0G000GW,25.487755505349558
G000GW,27.420740080670573
SG000GW,4.652287458487802
0S00W,-9.13520422573092
GS0W,15.31790882513798
0R0G0W,7.034396470652294
S0R0000W,-18.984986347769702
000G0000RW,15.007723327161692
0G0000RW,16.707466828671684
G0000RW,18.004163779660242
SSG000W,-16.253719254215707
0SS0W,-11.771181433919645
SS0G000W,-15.635930410667616
00GG00W,26.803596724845036
0G000RW,17.559913157368555
G00GRW,19.778411762881582
00GRW,15.696207175550644
0GRW,17.071169623265963
S0GRW,-1.953314605446773
S0S000W,-22.826699261988082
GG000W,29.811955476282755
SS000GW,-19.002461196382505
0S0000000W,-3.039325096313429
00G0G00W,25.15037780956172
0G0G00W,26.299649165104135
G0G00W,27.97653559084222
SS00000RW,-21.782982388686314
R0G000W,6.545645677607007
00R0G000W,5.705410855548347
0R0G000W,5.714975727263703
SS0000G0W,-22.483553964177673
0000000RGW,4.773378487643515
000000RGW,5.751762216689309
00000RGW,6.200398919038838
S00000RGW,-8.093970703321876
0000R0G00W,4.8027218527674425
000R0G00W,5.861244147669392
00R0G00W,6.090396618524381
S0000R00W,-16.595447519111673
SS0000R0W,-25.625839749678665
SS00000R0W,-20.79119446442317
00000R0GW,4.960596302090506
0000R0GW,4.698902356445389
00R000GW,4.343631751638816
0R000GW,5.10626763555897
0G000R000W,16.693736838424165
G000R000W,18.167743570235103
SS0G00000W,-20.302531128243068
0S00000W,-8.70402349524049
GS00000W,18.375108196952233
00SS0W,-8.421694121851829
000G00R00W,15.14643896656144
S000G00R00W,0
RGW,9.237367802933404
SSR00000W,-27.630508610986006
SS0R0G000W,-16.432507439048816
S0R0G000W,-9.045635250719936
SS00G0W,-16.134369617716292
SG0000RW,-2.7321169783979324
00R0G0W,6.318365554938546
S00R0G0W,-5.856399882817906
0G00000RW,16.440085046527734
S0G00000GW,1.9564123261779867
SS000G0W,-20.27355270728538
0R0G0000W,6.442004330024928
0000G00GW,22.47802876241801
S0000G00GW,1.366403689112296
00G0G000W,25.912340282682926
0G0G000W,27.08630053868804
G00000R00W,15.883506691108526
SSSS0W,-36.218452607117186
SSSS00W,-33.65141068927041
000000G0GW,21.836755750780206
00000G0GW,22.605751766272487
0000G0GW,23.592072178279896
0G0GW,27.80819508167953
S0G0GW,2.975799976435609
G000R0W,20.418953602226892
0RG000W,8.192258259800166
RG000W,9.71459722668565
0000GR00W,13.413058931769092
RG00000W,8.406864706843374
SSS0G0000W,-20.789592627161856
SS0G0000W,-17.066817066135364
SS00G000W,-21.20072957786422
SSSS00000W,-21.55302351004199
SSS00G000W,-20.930135659257996
SSSS0000W,-39.93148916629115
SSS00G00W,-27.59706866563915
00R000G00W,4.716943192996208
0R000G00W,4.066939969485905
S0G00R0W,-1.7790722366830531
0G0G0W,27.310092835899425
G0G0W,28.11228952397761
0G00R000W,17.26975175129729
G0R0W,18.043157151197217
SG0R0W,-1.5776441618354298
00000G0RW,13.198874927781107
S00000G0RW,-5.192390654811864
SS000G00W,-22.3742205999817
0000R00GW,3.336069312078533
00000R00GW,3.5419811030235513
000R00GW,3.4378106630320393
000G0R00W,14.026403839535798
00G0R00W,15.230995822051913
0G0R00W,15.522690566514523
G0R00W,16.02634008873265
00R0G00GW,-0.1551267143623164
0R0G00GW,1.438301111236851
SSSSS0W,-35.84254480544164
SSSSS00W,-35.59844956327753
SSSSS000W,-40.58746658102597
SSSSS0000W,-22.39099421402053
SS000R0W,-22.63067158912854
000R00G00W,3.8227071621867843
00R00G00W,4.716755510252435
R00G00W,5.221976041387126
00G0R000W,16.359724072167936
0G0R000W,17.254641792505254
G0R000W,17.711897074180634
00000G0R0W,12.796171713663638
000G0R0W,14.581415124027936
00S000W,-4.331536504794033
SSSR00000W,-20.75975752398318
0R0000G00W,3.562687107732319
R0000G00W,4.6370747461801765
