step,learning_rate,discount_factor,exploration,exploration_decay,min_exploration,vision_size
0,0.1,0.999,0.0001,0.999,0.0001,10
state,value
G000000W,19.891872861256065
00W,5.605887610075425
W,-20.020020020020006
000000000W,5.015614451834012
S000000000,0
000000W,9.176694070070853
000W,5.567987542272875
0000W,6.9604028693284965
00000W,8.12098988993158
00000000W,5.63208224675435
SW,-30.508822568797665
0W,1.0375539109449003
S0000W,-13.95820771900681
S00000000W,-6.920086211117269
SS00000000,0
S000W,-13.602777800365832
0G000W,18.46297915575768
S0G000W,-3.224012961357999
SS0G000W,-4.165819749510906
0000000W,7.340055395768251
SS0000W,-22.874908400939486
S00W,-15.739988128495837
SS00W,-20.11120475341809
G000W,20.537481449028796
SS00000W,-22.96055518783278
SS000000W,-29.807735134641124
0000G000W,14.89539513232546
000G000W,15.553446870279283
S0W,-17.3452175730749
S00000W,-14.072647310049334
S0000000W,-11.732424558089903
R00W,-4.633314007062695
SS0000000W,-21.338380623624417
S000000W,-14.588420133614653
G00000000W,16.603384761546543
00G00000W,16.92228764568572
SSW,-30.6414085744617
000G00000W,16.435008353276647
0R00000W,-0.9298195265969907
00G0000W,17.074493722489677
0G0000W,17.631095617401318
S0G0000W,-3.104348185081878
S000G000W,-3.331082357066099
000G0000W,17.04417654641518
00R000000W,-0.4613299185245052
SS000W,-20.51700285450136
SG00000000,0
000G00W,16.575647236253083
G00W,17.55896118492541
00G00W,17.061655803196732
0G00W,17.095274717022154
G00R00W,14.199375414611643
SG00R00W,0
SS0W,-22.746800264101296
0000G0RW,13.518635078535564
S0000G0RW,-2.1306836977352366
SR00W,-14.24709771193555
R0000W,-3.088233932221331
00000GW,14.231497369928308
S00000GW,-6.212647679465656
0000000GW,12.312314193187678
000000GW,13.183531154422322
S000000GW,-7.037644346712479
00R0GW,5.479484557492546
SS000000GW,-20.64521968001463
S00R0GW,-1.9331264208928065
S0000000GW,-4.168502177577934
SS0000000G,0
000000G00W,13.923961439397742
R00GW,6.210271680918027
S00G00000W,-2.7301781491589994
0000R00GW,1.8750804522821203
G0000W,19.581551909804297
00G0W,16.538850769355932
S00G0W,-4.97745684920461
000R0W,1.3892650668689879
SS00G0W,-9.787961271743187
SS000G0W,-11.348011317878944
0000000G0W,12.71771878206676
000000G0W,13.767343115970197
00000G0W,14.390846346425286
S00000G0W,-6.067089509554892
0000G00W,15.761246950309854
SG000W,-1.8862274798348029
G0W,18.36740036563229
SSS0000W,-24.692356936001886
S00G0000W,-2.565171424835477
SS00G0000W,-16.225466084888687
0000GW,14.687122170230012
000GW,15.853444696880333
S000GW,-5.0413976203599535
00GW,16.997975693710664
