step,learning_rate,discount_factor,exploration_rate,exploration_decay,min_exploration,vision_size
0,0.1,0.9,0.01,0.99,0.01,5
state,value
00000,78.11162074742424
000W,78.05567194378769
W,-22.85683199307266
S0000,42.035349113509675
00W,77.6105947265595
R0W,2.5068822446895256
0G000,94.36640610711302
0W,73.86571598808581
G0000,103.19933667258958
S00W,0.6874248944327941
GW,98.60391234793583
SS00W,-2.896979847158221
G000W,99.20014959759982
0000W,78.13308195212188
SG000,4.926726186470495
SSG00,-3.0
SW,-17.708673424616574
S000W,19.331263063016443
SS000,23.968209935635173
00R0W,7.0755288738186275
S0W,2.727228443571286
SS0W,-5.102156625882188
0S0W,17.064972742264462
00G00,94.5509210225905
S00G0,-0.6595890721230815
0000R,41.832705148647065
00GW,96.00396416255394
000GW,94.09003072038327
0GW,97.45231488973678
0RW,12.456820288361
0R000,51.25760471967041
R0000,51.98207653362808
0G0W,96.72437573220762
S0G00,-4.70761340632412
RW,-2.7578400980350612
0000G,91.54566555158908
000G0,92.64837559977869
SS00G,-5.882472378085264
S0G0W,0
S000G,6.751246676739371
0R0W,10.704460662310371
00R00,44.703939443172324
G0R0W,0
R000W,3.6753893765732433
S0R00,-2.8320368909362514
000R0,40.59225260093374
S000R,-2.1699919958139766
SSS00,-11.963034674146593
SS0G0,0
SSS0G,-3.0
SSS0W,-5.98096034253586
R00W,-0.7211165201007792
SR00W,0
SSR00,-8.677380557918838
0G0G0,1.2969244119763697
S0G0G,0
G0W,96.56836369096486
G00W,97.51243404497625
G000G,46.05134221578546
0G00W,96.83410084673866
SG00W,0
0S000,58.514841314356794
SSSS0,-19.10538722051586
SSW,-20.08196919868156
SSSW,-22.3539834057196
0SS00,40.85451560396846
00S00,53.41705496462525
000RG,-0.12538000000000002
00G0W,95.26890120457298
00RW,8.333410690605795
0G00R,2.8678994792166703
G00RW,3.4212062067982147
000RW,18.1790657787541
SG0W,0
SSG0W,0
SR000,-1.6813249113682316
S0RW,-0.15329679992255116
SS0RW,0
SS00R,0
0SG00,-0.02684101686016377
S00R0,-4.025464073682646
SSSSS,-29.187298646235295
0R00W,-0.6861081055161042
0S00W,21.344986824566995
0S00G,7.206767596055322
GG000,22.441404114345332
SRW,0
SSRW,0
SGG00,0
S0GG0,0
SSSSW,-9.730714642524905
RG00W,-0.8701503840374907
SRG00,0
00RG0,2.8620707862354418
0RG00,5.410361893334052
000GG,10.324086251488744
00GG0,5.030491508055936
0GG00,-0.03370496120287836
S00GW,0
0S0R0,6.903120943378481
SS0GW,0
SS0R0,-6.240558639361179
0SW,6.024006505522514
00GR0,-0.1
S00GR,0
000GR,0.0926295588682621
0GR00,5.5946964880827466
GR000,6.214514383355912
SSGG0,0
GG0W,13.305123258988335
0SG0W,0
0GGW,-0.1
GGW,3.604594343790475
SGW,5.118071308098649
SSGW,0
SSSGW,0
0G00G,-0.2141671
G00G0,13.13003283383841
RG000,0.019974273531629904
G0G00,17.74330056372425
GG00W,2.255071597168965
SR0W,0
S0R0W,0
0RG0W,-0.1
RG0W,-0.24879364970853768
0GRW,-0.1
00S0W,47.060142016986774
0SSSS,28.455540255566632
000S0,56.18208833961114
R00GW,-1.0174717079365292
SSSG0,-6.0
S0S00,-9.403545181675874
GSS00,3.8451826039649055
000SW,45.57853427551805
R0GW,6.44571827610674
SR0GW,-3.0
00SSW,13.881801546019252
00SW,23.033956751744768
SSR0W,0
0SSW,-0.6185543774279967
0SSS0,18.264369684549806
00SS0,44.04668661770719
SSS0R,-3.295286570028486
S0SG0,0
S0S0W,-5.434402295948801
G00R0,10.096694732434711
S00S0,0.9707753318601471
0000S,63.1263581179402
S00SW,-3.3264627942549176
SS00S,-6.007547201482794
00GGW,1.9028216905313913
S00GG,0
S00RW,0
S0SW,0
0SS0W,15.18755999939126
00S0G,2.156125969970744
S0GGW,0
SS0GG,0
0GSS0,0
GSW,7.414987780489437
R0G00,-0.9489690590324212
SR0G0,0
00R0G,-0.1
0R0G0,5.355476171178334
0SSSR,0.8520155794055617
SSSR0,0
0S0G0,6.184274562735773
0R00G,-0.1
G00GW,11.024660954200954
0R0GW,-0.1
RS00W,0
SS0S0,-6.350161562592522
SSS0S,0
0RS00,-0.39236335101105413
00G0G,0.06081037497790687
S0SSS,-1.706286526975973
S0SS0,-1.8474957350382009
SS0SS,0
000SS,46.64793467588588
S000S,4.376539134531141
SS0SW,-3.0
0SSSW,8.673643315116447
